GUID,Welt (codiert),Welt (uncodiert),Europa Smaragd,Europa (codiert),Europa (uncodiert),Schweiz (codiert),Schweiz (uncodiert),Schweiz Kriterien,Bemerkungen
AA3F9589-EAF4-4B36-9F2C-73BCCE7C20DC,,,,,,NE,nicht evaluiert,,
AA46F863-DBE6-4CD1-9550-A54E302012D0,,,,,,LC,nicht gefährdet,,
AA4CBDB2-10C9-4DC9-BDC0-CCC618762B8E,,,,,,VU,verletzlich,D2,"nur aus dem Wallis bekannt, Erstfund 1990"
AA609E10-2AED-4EDC-B2D2-CB9F1F75A557,,,,,,DD,ungenügende Datengrundlage,,Taxonomie unklar
AA68E03C-DC54-41FE-997E-9B8D7FFF0C28,,,,,,LC,nicht gefährdet,,
AA823193-9FDF-4672-9E94-6C0482F574B0,,,,,,DD,ungenügende Datengrundlage,,"einziger Fund 1859, Nachsuche erforderlich"
AAD2A29F-D906-410F-BB0A-B0A63E69E59E,,,,,,VU,verletzlich,D2,"abhängig vom Moorschutz, evtl. in Ausbreitung"
AB15C579-E2FB-4CD2-8E7A-CD743BC78330,,,,,,NE,nicht evaluiert,,
AB1A5033-D9AA-4396-AFEA-515364123197,,,,R,rare,VU,verletzlich,D2,
AB397753-DA9E-4E7C-B931-F6C53BB5CDB2,,,,,,VU,verletzlich,D2,"möglicherweise ausgestorben, einziger Fund 1929, Nachsuche erfolglos"
AB8EBBB6-FB5D-41A7-8EB5-7BF390C366DF,,,,,,VU,verletzlich,D2,
AC081AB9-B369-4244-8539-F3B25FF0046C,,,,,,DD,ungenügende Datengrundlage,,Taxonomie unklar
AC164C2B-8944-48C3-916D-BB546552B563,,,,,,LC,nicht gefährdet,,abhängig vom Moorschutz
AC7E8825-2ABF-4A9F-88D5-290A4BA6044D,,,,,,DD,ungenügende Datengrundlage,,Verbreitung und taxonomischer Status zu wenig bekannt
AC93E917-CCF2-45E7-B1FE-194A9B1CAFBB,,,,,,LC,nicht gefährdet,,
ACAED730-C3FC-4C7A-90A3-F78021C712FB,,,,,,NE,nicht evaluiert,,
ACFDC67E-057E-423C-82D6-1D32140DF544,,,,,,LC,nicht gefährdet,,
AD1DE646-0F50-4265-A829-EA8EE6B48E2F,,,,R,rare,VU,verletzlich,D2,kommt nur in der Südschweiz vor
AD7FAFF6-E17B-4742-967A-E4164319979D,,,,V,vulnerable,DD,ungenügende Datengrundlage,,"taxonomische Stellung unklar, heute meist in O. cupulatum eingeschlossen"
ADC31DF3-D36B-4094-A8E2-F52958A2EC64,,,,,,VU,verletzlich,D2,
