guid,Schweiz (codiert),Schweiz (uncodiert),Bemerkungen,Remarques,Osservazioni
A1ECDCC9-85FD-4FE9-8B17-68142EC5427D,4,potentiell gefährdet,"Kalkart, hygrophil","espèce sur calcaire, hygrophile","specie calcifila, igrofila"
EC859A32-517B-47B3-AAF6-EBA627D7755D,4,potentiell gefährdet,morastige Ufer mit Beschattung,rives bourbeuses ombragées,rive melmose ombreggiate
989E9F89-C574-4FFE-8499-B55E20184A65,4,potentiell gefährdet,"Endemit TI, Misox",endémique au TI,"endemita TI, Mesolcina"
35FB873B-1305-47D2-AC9A-BF1C59077A45,2,stark gefährdet,"Pestwurzfluren, Sandufer","pétasites, rives sablonneuses","Petasites, rive sabbiose"
9711CE5B-6145-4000-93C1-007DA0BBBD52,1,vom Aussterben bedroht,Schotter von Bächen und kleinen Flüssen,gravier de ruisseaux et de petits cours d'eau,ciottoli di ruscelli e piccoli fiumi
20DF87B7-4585-43BF-BFD1-C63D951C3502,1,vom Aussterben bedroht,breite Sandufer grosser Flüsse,larges rives sablonneuses de grandes rivières,larghe rive sabbiose di grandi fiumi
CAFC049A-437B-42C0-B98D-61F946BCCE1A,0,ausgestorben oder verschollen,mehr als 100 Jahre verschollen,disparu depuis plus de 100 ans,scomparso da più di 100 anni
CC18A79B-1AB2-440A-8951-E372D50EF037,4,potentiell gefährdet,Schotter von Bächen und kleinen Flüssen,gravier de ruisseaux et de petits cours d'eau,ciottoli di ruscelli e piccoli fiumi
64B658F8-3FA1-4826-BDD3-97A7B6E0EB0A,1,vom Aussterben bedroht,trockene Torfböden,sols tourbeux secs,terreni asciutti con torba
B2C8FB96-8D41-4912-972E-3E0B09E05EB1,4,potentiell gefährdet,"Erddeponien, sporadisches Auftreten","terre entreposée, observation sporadique","deponie di terra, presenze sporadiche"
CE538EB9-980F-4BDB-9D65-F84C6E08D65F,0,ausgestorben oder verschollen,Ufer grosser Flüsse,rives des grandes rivières,rive di grandi fiumi
0E2AC191-35DB-431C-A344-043C77D90265,3,gefährdet,Lehmböden,sols argileux,terreni argillosi
